;strain_1;strain_10;strain_11;strain_12;strain_13;strain_14;strain_15;strain_16;strain_17;strain_18;strain_19;strain_2;strain_20;strain_21;strain_22;strain_23;strain_24;strain_25;strain_26;strain_27;strain_28;strain_29;strain_3;strain_30;strain_31;strain_32;strain_33;strain_34;strain_35;strain_36;strain_37;strain_38;strain_39;strain_4;strain_40;strain_41;strain_42;strain_43;strain_44;strain_45;strain_46;strain_47;strain_48;strain_49;strain_5;strain_50;strain_51;strain_52;strain_53;strain_54;strain_55;strain_56;strain_57;strain_58;strain_6;strain_7;strain_8;strain_9
strain_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_10;0.0341511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_11;0.100819;0.083988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_12;0.0840412;0.0820572;0.0466764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_13;0.434998;0.404405;0.360051;0.361222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_14;0.450609;0.413723;0.362404;0.356617;0.00106158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_15;0.0409428;0.075622;0.10286;0.0932014;0.430767;0.425827;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_16;0.428113;0.370171;0.362133;0.345898;0.16411;0.161692;0.36335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_17;0.430703;0.395494;0.443686;0.442106;0.179418;0.177102;0.420609;0.155191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_18;0.0687665;0.107574;0.131194;0.112938;0.458789;0.453733;0.0231497;0.392948;0.443308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_19;0.741643;0.67938;0.668293;0.638351;0.580428;0.56963;0.652002;0.563887;0.545297;0.642293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_2;0.0101327;0.0174858;0.111523;0.094502;0.444941;0.459866;0.0365732;0.420562;0.431646;0.0637236;0.737121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_20;0.433195;0.404397;0.433947;0.44994;0.167112;0.164158;0.425264;0.14342;0.0085367;0.439787;0.551695;0.443575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_21;0.697825;0.624404;0.597189;0.571814;0.511132;0.515426;0.613874;0.510986;0.553478;0.633957;0.137993;0.67325;0.527056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_22;0.801658;0.658369;0.744105;0.818024;0.825722;0.819644;0.759935;0.771496;0.791237;0.767536;0.785057;0.713372;0.749604;0.680309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_23;0.637947;0.586885;0.593713;0.604915;0.468229;0.464171;0.56634;0.437032;0.496489;0.534124;0.432059;0.61073;0.501539;0.549478;0.846799;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_24;0.823457;0.658014;0.733154;0.839;0.824639;0.818711;0.768458;0.779915;0.807657;0.785384;0.750109;0.737099;0.7561;0.65382;0.0538157;0.913845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_25;0.589349;0.5257;0.531776;0.563996;0.534933;0.530426;0.524969;0.457255;0.479945;0.510093;0.511153;0.573892;0.473037;0.579476;0.728897;0.118572;0.792878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_26;0.590474;0.535423;0.541008;0.570228;0.541856;0.537208;0.52954;0.444126;0.484929;0.512973;0.49589;0.574169;0.476866;0.573138;0.769931;0.117471;0.834507;0.00111259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_27;0.372133;0.320123;0.304479;0.404481;0.503951;0.50072;0.365584;0.381093;0.434333;0.417778;0.572718;0.345646;0.3611;0.538882;0.775036;0.596681;0.785366;0.546204;0.521633;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_28;0.942532;0.835657;0.832198;0.845848;0.912181;0.910608;0.824452;0.826432;0.814371;0.821475;0.760838;0.891151;0.808682;0.724248;0.291273;0.782243;0.25359;0.853529;0.848825;0.865243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_29;0.684034;0.59495;0.584746;0.627905;0.60939;0.60394;0.566129;0.570924;0.590926;0.549167;0.504675;0.674389;0.590927;0.590467;0.727813;0.209092;0.764477;0.180752;0.185412;0.606405;0.774554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_3;0.00253297;0.0223646;0.102274;0.0843103;0.432169;0.446841;0.0272858;0.424709;0.427878;0.0542554;0.734459;0.0041874;0.440489;0.687983;0.784355;0.595797;0.808295;0.55679;0.556864;0.352106;0.925891;0.65798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_30;0.684807;0.633275;0.707209;0.753991;0.796181;0.794503;0.742271;0.701996;0.689801;0.734628;0.636009;0.665269;0.677744;0.599019;0.404272;0.876655;0.375088;0.883614;0.87909;0.831993;0.248989;0.737946;0.665792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_31;0.536062;0.483747;0.424821;0.418331;0.17198;0.171154;0.495856;0.266942;0.341592;0.49195;0.487354;0.543269;0.328931;0.525533;0.879185;0.533664;0.939604;0.49923;0.495123;0.469713;0.977939;0.565423;0.527492;0.864471;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_32;0.529817;0.476555;0.471008;0.483357;0.412001;0.408417;0.403332;0.341925;0.329604;0.420727;0.605019;0.54368;0.322496;0.554813;0.642811;0.503056;0.684781;0.485192;0.518108;0.560434;0.870346;0.531934;0.529252;0.789864;0.419926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_33;0.599731;0.641276;0.62274;0.669596;0.65102;0.64526;0.565548;0.595438;0.592142;0.547934;0.493019;0.54763;0.581903;0.625948;0.648386;0.196236;0.685616;0.182021;0.231259;0.603995;0.773411;0.0579609;0.545029;0.777828;0.574069;0.547069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_34;0.505635;0.437741;0.449815;0.45696;0.437323;0.433726;0.508731;0.375549;0.34676;0.505553;0.587996;0.494438;0.333734;0.557316;0.759247;0.620374;0.768933;0.536739;0.53315;0.550769;0.882233;0.604893;0.498251;0.833299;0.43244;0.47347;0.601136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_35;0.555889;0.532823;0.571625;0.689029;0.787245;0.785644;0.6053;0.570818;0.548958;0.627256;0.523708;0.535985;0.559399;0.455282;0.17747;0.605492;0.162373;0.57997;0.589238;0.670845;0.157613;0.680342;0.535085;0.153781;0.682359;0.605826;0.683153;0.709725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_36;0.479681;0.438157;0.412108;0.430822;0.40333;0.401119;0.399353;0.40098;0.315773;0.368786;0.325164;0.489819;0.292925;0.474782;0.60072;0.156892;0.675528;0.332111;0.329006;0.373674;0.64892;0.346135;0.487311;0.679381;0.403242;0.325801;0.396213;0.436591;0.6275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
