;strain_1;strain_10;strain_11;strain_12;strain_13;strain_14;strain_15;strain_16;strain_17;strain_18;strain_19;strain_2;strain_20;strain_21;strain_22;strain_23;strain_24;strain_25;strain_26;strain_27;strain_28;strain_29;strain_3;strain_30;strain_31;strain_32;strain_33;strain_34;strain_35;strain_36;strain_37;strain_38;strain_39;strain_4;strain_40;strain_41;strain_42;strain_43;strain_44;strain_45;strain_46;strain_47;strain_48;strain_49;strain_5;strain_50;strain_51;strain_52;strain_53;strain_54;strain_55;strain_56;strain_57;strain_58;strain_59;strain_6;strain_60;strain_61;strain_7;strain_8;strain_9
strain_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_10;0.0510566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_11;0.84867;0.865833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_12;0.0660491;0.031579;0.851506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_13;0.0698707;0.0347085;0.849609;0.000133303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_14;0.073379;0.0372327;0.852006;0.000439177;0.00020034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_15;0.0781035;0.0427675;0.855437;0.00398933;0.0016443;0.000762946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_16;0.0726165;0.0507841;0.860392;0.0166954;0.0130495;0.0106458;0.00686091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_17;0.0846377;0.0454655;0.857785;0.0117794;0.00704972;0.00444306;0.00190369;0.00452308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_18;0.0957767;0.0520178;0.888124;0.0479792;0.0428869;0.0401134;0.0373096;0.0404136;0.0356644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_19;0.825809;0.870704;0.0603277;0.848008;0.846107;0.848865;0.852628;0.857979;0.855383;0.8977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_2;0.0291318;0.0641198;0.820401;0.0532296;0.0568978;0.060515;0.0654093;0.0576921;0.0719593;0.102736;0.800846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_20;0.148946;0.115186;0.837568;0.0915963;0.0865219;0.0827587;0.0783047;0.0809793;0.0720302;0.0575311;0.855391;0.155533;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_21;0.836034;0.862552;0.0590189;0.844266;0.843029;0.845651;0.849409;0.854776;0.852199;0.876699;0.0145167;0.811208;0.837712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_22;0.150504;0.111389;0.843502;0.0883857;0.0840961;0.0804416;0.0757747;0.0809577;0.0692612;0.0542283;0.861558;0.157118;0.00742286;0.843936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_23;0.839225;0.874447;0.0832672;0.845602;0.843931;0.846556;0.850318;0.855691;0.85312;0.87907;0.0450154;0.814341;0.853083;0.0271456;0.859256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_24;0.84825;0.88287;0.0615955;0.873334;0.871054;0.874156;0.877977;0.883329;0.880734;0.902415;0.0266435;0.823493;0.866299;0.0119954;0.872483;0.017515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_25;0.159981;0.127375;0.830367;0.101182;0.0925242;0.0882937;0.0835303;0.0842873;0.0762863;0.0647745;0.847977;0.166636;0.0132913;0.844694;0.0158432;0.845766;0.873307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_26;0.842351;0.888983;0.0970828;0.865764;0.876525;0.88021;0.884055;0.889292;0.886559;0.908092;0.0605285;0.817587;0.870767;0.0404896;0.876244;0.0101321;0.0271838;0.873737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_27;0.198484;0.153689;0.876006;0.1509;0.141765;0.137292;0.132278;0.132512;0.122824;0.215176;0.891964;0.231873;0.0680211;0.888143;0.0561313;0.889594;0.916844;0.0496988;0.917765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strain_28;0.386065;0.316386;0.748741;0.310746;0.300988;0.297547;0.293182;0.296074;0.281031;0.373502;0.781224;0.405729;0.221841;0.775276;0.22117;0.798277;0.795169;0.19913;0.827178;0.190027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
